year,subject_no,subject,no_sat,a_no,a_percentage,b_no,b_percentage,c_no,c_percentage,s_no,s_percentage,pass_no,pass_percentage,fail_no,fail_percentage
2025,24,Logic & Scientific Method,5775,596,10.32,989,17.13,1678,29.06,1447,25.06,4710,81.56,1065,18.44
2025,251,History of India,7532,1029,13.66,939,12.47,1760,23.37,1827,24.26,5555,73.75,1977,26.25
2025,252,History of Europe,4645,574,12.36,667,14.36,1217,26.2,1169,25.17,3627,78.08,1018,21.92
2025,253,History of Modern World,118,6,5.08,7,5.93,18,15.25,19,16.1,50,42.37,68,57.63
2025,28,Home Economics,9952,741,7.45,2089,20.99,4051,40.71,2900,29.14,9781,98.28,171,1.72
2025,29,Communication & Media Studies,34637,2723,7.86,3260,9.41,7227,20.86,11354,32.78,24564,70.92,10073,29.08
2025,31,Business statistics,483,40,8.28,46,9.52,114,23.6,139,28.78,339,70.19,144,29.81
2025,88,Korean,1913,85,4.44,81,4.23,300,15.68,416,21.75,882,46.11,1031,53.89
2025,87,Japanese,4414,217,4.92,320,7.25,752,17.04,1690,38.29,2979,67.49,1435,32.51
2025,16,"Electrical, Electronic & Information Technology",31,0,0.0,3,9.68,1,3.23,8,25.81,12,38.71,19,61.29
2025,15,Mechanical Technology,10,0,0.0,0,0.0,0,0.0,5,50.0,5,50.0,5,50.0
2025,14,Civil Technology,23,0,0.0,0,0.0,2,8.7,8,34.78,10,43.48,13,56.52
2025,13,General English,237532,22672,9.54,15626,6.58,29718,12.51,71627,30.15,139643,58.79,97889,41.21
2025,11,Higher Mathematics,4,1,25.0,1,25.0,0,0.0,1,25.0,3,75.0,1,25.0
2025,10,Combined Mathematics,44915,3395,7.56,4223,9.4,10553,23.5,13012,28.97,31183,69.43,13732,30.57
2025,9,Biology,56969,3211,5.64,5099,8.95,13137,23.06,18301,32.12,39748,69.77,17221,30.23
2025,8,Agricultural Science,14300,526,3.68,1307,9.14,4213,29.46,4749,33.21,10795,75.49,3505,24.51
2025,7,Mathematics,460,19,4.13,34,7.39,100,21.74,152,33.04,305,66.3,155,33.7
2025,2,Chemistry,93844,7597,8.1,8523,9.08,21609,23.03,29663,31.61,67392,71.81,26452,28.19
2025,1,Physics,97760,5505,5.63,6726,6.88,19121,19.56,38384,39.26,69736,71.33,28024,28.67
