year,subject_no,subject,no_sat,a_no,a_percentage,b_no,b_percentage,c_no,c_percentage,s_no,s_percentage,pass_no,pass_percentage,fail_no,fail_percentage
2024,10,Combined Mathematics,42249,3535,8.37,4107,9.72,9489,22.46,13100,31.01,30231,71.55,12018,28.45
2024,16,"Electrical, Electronic & Information Technology",26,0,0.0,0,0.0,2,7.69,10,38.46,12,46.15,14,53.85
2024,17,Food Technology,91,1,1.1,6,6.59,28,30.77,21,23.08,56,61.54,35,38.46
2024,14,Civil Technology,19,0,0.0,0,0.0,4,21.05,8,42.11,12,63.16,7,36.84
2024,15,Mechanical Technology,19,0,0.0,0,0.0,2,10.53,6,31.58,8,42.11,11,57.89
2024,18,Agro Technology,329,3,0.91,19,5.78,110,33.43,119,36.17,251,76.29,78,23.71
2024,19,Bio Resource Technology,15,0,0.0,1,6.67,2,13.33,8,53.33,11,73.33,4,26.67
2025,33,Accounting,59924,5660,9.45,7641,12.75,12636,21.09,19196,32.03,45133,75.32,14791,24.68
2025,32,Business Studies,54502,5561,10.2,8081,14.83,14914,27.36,17759,32.58,46315,84.98,8187,15.02
2025,58,Drama & Theatre (Tamil),1539,153,9.94,470,30.54,730,47.43,178,11.57,1531,99.48,8,0.52
2025,65,Engineering Technology,19943,160,0.8,1409,7.07,5989,30.03,8564,42.94,16122,80.84,3821,19.16
2025,66,Bio systems Technology,8617,283,3.28,1384,16.06,2583,29.98,3282,38.09,7532,87.41,1085,12.59
2025,67,Science for Technology,31130,807,2.59,2271,7.3,7081,22.75,14790,47.51,24949,80.14,6181,19.86
2025,71,Sinhala,39421,6022,15.28,9110,23.11,11978,30.38,7831,19.87,34941,88.64,4480,11.36
2025,72,Tamil,16393,1604,9.78,3428,20.91,5569,33.97,4065,24.8,14666,89.47,1727,10.53
2025,73,English,1633,13,0.8,92,5.63,309,18.92,664,40.66,1078,66.01,555,33.99
2025,74,Pali,1092,110,10.07,176,16.12,296,27.11,347,31.78,929,85.07,163,14.93
2025,75,Sanskrit,629,46,7.31,89,14.15,188,29.89,197,31.32,520,82.67,109,17.33
2025,78,Arabic,1776,379,21.34,413,23.25,532,29.95,290,16.33,1614,90.88,162,9.12
2025,79,Malay,11,3,27.27,2,18.18,6,54.55,0,0.0,11,100.0,0,0.0
2025,81,French,1221,139,11.38,142,11.63,259,21.21,312,25.55,852,69.78,369,30.22
2025,82,German,453,49,10.82,53,11.7,112,24.72,117,25.83,331,73.07,122,26.93
2025,83,Russian,44,2,4.55,5,11.36,15,34.09,14,31.82,36,81.82,8,18.18
2025,84,Hindi,285,18,6.32,32,11.23,78,27.37,98,34.39,226,79.3,59,20.7
2025,86,Chinese,317,26,8.2,29,9.15,71,22.4,116,36.59,242,76.34,75,23.66
2025,41,Buddhism,1383,224,16.2,141,10.2,322,23.28,347,25.09,1034,74.77,349,25.23
2025,42,Hinduism,574,173,30.14,103,17.94,131,22.82,119,20.73,526,91.64,48,8.36
2025,43,Christianity,1652,316,19.13,296,17.92,505,30.57,393,23.79,1510,91.4,142,8.6
2025,44,Islam,6558,1415,21.58,1224,18.66,1918,29.25,1386,21.13,5943,90.62,615,9.38
2025,45,Buddhist Civilization,16630,2607,15.68,2158,12.98,4181,25.14,3791,22.8,12737,76.59,3893,23.41
2025,46,Hindu Civilization,4212,788,18.71,669,15.88,1079,25.62,1009,23.96,3545,84.16,667,15.84
2025,47,Islamic Civilization,3065,445,14.52,610,19.9,1044,34.06,696,22.71,2795,91.19,270,8.81
2025,48,Greek & Roman Civilization,133,15,11.28,21,15.79,32,24.06,33,24.81,101,75.94,32,24.06
2025,49,Christian Civilization,1190,231,19.41,168,14.12,280,23.53,320,26.89,999,83.95,191,16.05
2025,51,Art,5236,434,8.29,758,14.48,1705,32.56,1792,34.22,4689,89.55,547,10.45
2025,52,Dancing (Indigenous),5243,816,15.56,905,17.26,1425,27.18,1184,22.58,4330,82.59,913,17.41
2025,53,Dancing (Bharatha),711,144,20.25,195,27.43,264,37.13,102,14.35,705,99.16,6,0.84
2025,54,Oriental Music,2007,477,23.77,402,20.03,524,26.11,357,17.79,1760,87.69,247,12.31
2025,55,Carnatic Music,1098,126,11.48,191,17.4,381,34.7,295,26.87,993,90.44,105,9.56
2025,56,Western Music,58,10,17.24,10,17.24,19,32.76,15,25.86,54,93.1,4,6.9
2025,57,Drama & Theatre (Sinhala),2569,230,8.95,451,17.56,986,38.38,705,27.44,2372,92.33,197,7.67
2025,17,Food Technology,97,2,2.06,7,7.22,29,29.9,32,32.99,70,72.16,27,27.84
2025,18,Agro Technology,359,5,1.39,20,5.57,128,35.65,121,33.7,274,76.32,85,23.68
2025,19,Bio Resource Technology,32,0,0.0,0,0.0,7,21.88,13,40.63,20,62.5,12,37.5
2025,20,Information & Communication Technology,56538,1284,2.27,4447,7.87,12284,21.73,22869,40.45,40884,72.31,15654,27.69
2025,21,Economics,57975,5160,8.9,7075,12.2,15232,26.27,15418,26.59,42885,73.97,15090,26.03
2025,22,Geography,44844,3998,8.92,5640,12.58,11134,24.83,12301,27.43,33073,73.75,11771,26.25
2025,23,Political Science,31742,3509,11.05,3299,10.39,6383,20.11,8751,27.57,21942,69.13,9800,30.87
